CASEID,DOBM,DOBY,IDATMM,IDATYY,CASE,RESPID,NUMUNION,NUMMAR,NUMCOHMR,HOWBEG01,HOWEND01,COHMAR01,BEGDAT01,BEGFLG01,ENDDAT01,ENDFLG01,MARDAT01,MARFLG01,SEPDAT01,SEPFLG01,DIVDAT01,DIVFLG01,WIDDAT01,WIDFLG01,COHDAT01,COHFLG01,HOWBEG02,HOWEND02,COHMAR02,BEGDAT02,BEGFLG02,ENDDAT02,ENDFLG02,MARDAT02,MARFLG02,SEPDAT02,SEPFLG02,DIVDAT02,DIVFLG02,WIDDAT02,WIDFLG02,COHDAT02,COHFLG02,HOWBEG03,HOWEND03,COHMAR03,BEGDAT03,BEGFLG03,ENDDAT03,ENDFLG03,MARDAT03,MARFLG03,SEPDAT03,SEPFLG03,DIVDAT03,DIVFLG03,WIDDAT03,WIDFLG03,COHDAT03,COHFLG03,HOWBEG04,HOWEND04,COHMAR04,BEGDAT04,BEGFLG04,ENDDAT04,ENDFLG04,MARDAT04,MARFLG04,SEPDAT04,SEPFLG04,DIVDAT04,DIVFLG04,WIDDAT04,WIDFLG04,COHDAT04,COHFLG04,HOWBEG05,HOWEND05,COHMAR05,BEGDAT05,BEGFLG05,ENDDAT05,ENDFLG05,MARDAT05,MARFLG05,SEPDAT05,SEPFLG05,DIVDAT05,DIVFLG05,WIDDAT05,WIDFLG05,COHDAT05,COHFLG05,HOWBEG06,HOWEND06,COHMAR06,BEGDAT06,BEGFLG06,ENDDAT06,ENDFLG06,MARDAT06,MARFLG06,SEPDAT06,SEPFLG06,DIVDAT06,DIVFLG06,WIDDAT06,WIDFLG06,COHDAT06,COHFLG06,HOWBEG07,HOWEND07,COHMAR07,BEGDAT07,BEGFLG07,ENDDAT07,ENDFLG07,MARDAT07,MARFLG07,SEPDAT07,SEPFLG07,DIVDAT07,DIVFLG07,WIDDAT07,WIDFLG07,COHDAT07,COHFLG07,HOWBEG08,HOWEND08,COHMAR08,BEGDAT08,BEGFLG08,ENDDAT08,ENDFLG08,MARDAT08,MARFLG08,SEPDAT08,SEPFLG08,DIVDAT08,DIVFLG08,WIDDAT08,WIDFLG08,COHDAT08,COHFLG08,HOWBEG09,HOWEND09,COHMAR09,BEGDAT09,BEGFLG09,ENDDAT09,ENDFLG09,MARDAT09,MARFLG09,SEPDAT09,SEPFLG09,DIVDAT09,DIVFLG09,WIDDAT09,WIDFLG09,COHDAT09,COHFLG09,HOWBEG10,HOWEND10,COHMAR10,BEGDAT10,BEGFLG10,ENDDAT10,ENDFLG10,MARDAT10,MARFLG10,SEPDAT10,SEPFLG10,DIVDAT10,DIVFLG10,WIDDAT10,WIDFLG10,COHDAT10,COHFLG10,DUPFLG,M2CP01,M2DP01,BKMK2,CHKPTM,birth_month,M499A,M528,M535,M536,M537,M538,M583A,M583B,M583C,M584,E904,E1006,E1341,SAMWT,MARCOHAB,CURMARCO,coh_t,mar_t,weeks,hours,work,married,cohab,state,unil,eq,birth,age_eq,age_uni
2783,11,54,11,2002,26481,R,1,1,0,mar,div,did not cohab,1007,Mo and yr given,1163,Mo and yr given,1007,Mo and yr given,1159,Mo and yr given,1163,Mo and yr given,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,no dup,MARRIED,MALE,COHAB NOT CIRCLED,YES,659,Alabama,YES,32,INAPPLICABLE,NO,50,52,INAPPLICABLE,INAPPLICABLE,INAPPLICABLE,YES,INAPPLICABLE,YES,98000,MARRIED/LIVE W/SP,1007,0,1,1,50,50,1,0,Alabama,1971,1984,1955,29,16
2790,7,51,9,2001,26595,R,7,2,2,coh,sep,did not cohab,880,Mo alloc from season,888,Mth alloc for order,0,Mo and yr given,888,Mth alloc for order,,,,,880,Mo alloc from season,coh,div,Yes,922,Mo alloc from season,1024,Mo and yr given,1003,Mo alloc from season,1017,Mo and yr given,1024,Mo and yr given,,,922,Mo alloc from season,coh,sep,No,1051,Mo alloc from season,1064,Mo and yr given,0,Mo and yr given,1064,Mo and yr given,,,,,1051,Mo alloc from season,coh,sep,No,1074,Mth alloc midyr,1081,Mo and yr given,0,Mo and yr given,1081,Mo and yr given,,,,,1074,Mth alloc midyr,coh,sep,No,1038,Mth alloc midyr,1066,Mo and yr given,0,Mo and yr given,1066,Mo and yr given,,,,,1038,Mth alloc midyr,coh,sep,No,1074,Mth alloc midyr,1098,Mth alloc midyr,0,Mo and yr given,1098,Mth alloc midyr,,,,,1074,Mth alloc midyr,coh,intact,Yes,1147,Mo and yr given,0,Mo and yr given,1211,Mo and yr given,0,Mo and yr given,,,,,1147,Mo and yr given,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,repeated begdat,DIVORCED,MALE,COHAB NOT CIRCLED,INAPPLICABLE,619,Maine,YES,40,INAPPLICABLE,YES,INAPPLICABLE,52,INAPPLICABLE,INAPPLICABLE,INAPPLICABLE,INAPPLICABLE,INAPPLICABLE,NO,49000,NOT COHAB-DIVORCED,INAPPLICABLE,1,1,1,40,40,0,0,Maine,1973,1972,1952,20,21
2791,1,45,10,2002,26604,R,4,2,2,coh,div,cohab,830,Mo and yr given,872,Mo and yr given,832,Mo and yr given,871,Mo and yr given,872,Mo and yr given,,,830,Mo and yr given,coh,sep,No,952,Mo alloc from season,964,Mo alloc from season,0,Mo and yr given,964,Mo alloc from season,,,,,952,Mo alloc from season,coh,sep,No,1063,Mo and yr given,1101,Mo and yr given,0,Mo and yr given,1101,Mo and yr given,,,,,1063,Mo and yr given,coh,intact,Yes,1199,Mo and yr given,0,Mo and yr given,1216,Mo and yr given,0,Mo and yr given,,,,,1199,Mo and yr given,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,no dup,DIVORCED,MALE,COHAB NOT CIRCLED,INAPPLICABLE,541,Illinois,YES,40,INAPPLICABLE,YES,INAPPLICABLE,43,9,0,INAPPLICABLE,INAPPLICABLE,INAPPLICABLE,NO,196000,NOT COHAB-DIVORCED,INAPPLICABLE,1,1,1,40,40,0,0,Illinois,0,1977,1945,32,
2801,1,50,1,2002,26700,R,2,2,2,coh,div,cohab,809,Mo and yr given,1116,Mo and yr given,823,Mo and yr given,1101,Mo and yr given,1116,Mo and yr given,,,809,Mo and yr given,coh,intact,Yes,1101,Mo and yr given,0,Mo and yr given,1126,Mo and yr given,0,Mo and yr given,,,,,1101,Mo and yr given,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,no dup,MARRIED,FEMALE,COHAB NOT CIRCLED,YES,601,New Jersey,YES,40,INAPPLICABLE,YES,INAPPLICABLE,52,INAPPLICABLE,INAPPLICABLE,INAPPLICABLE,INAPPLICABLE,YES,YES,196000,MARRIED/LIVE W/SP,823,1,1,1,40,40,1,0,New Jersey,0,1974,1950,24,
2803,9,45,7,2001,26713,R,2,2,1,mar,div,did not cohab,957,Mo and yr given,1153,Mo and yr given,957,Mo and yr given,1152,Mo and yr given,1153,Mo and yr given,,,,,coh,intact,Yes,1170,Mo and yr given,0,Mo and yr given,1171,Mo and yr given,0,Mo and yr given,,,,,1170,Mo and yr given,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,no dup,MARRIED,MALE,COHAB NOT CIRCLED,YES,549,Wisconsin,YES,45,INAPPLICABLE,YES,INAPPLICABLE,52,INAPPLICABLE,INAPPLICABLE,INAPPLICABLE,INAPPLICABLE,INAPPLICABLE,YES,196000,MARRIED/LIVE W/SP,957,0,1,1,45,45,1,0,Wisconsin,1978,0,1946,,32
2808,1,53,5,2002,26747,R,1,1,0,mar,intact,did not cohab,849,Mo and yr given,0,Mo and yr given,849,Mo and yr given,0,Mo and yr given,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,no dup,MARRIED,FEMALE,COHAB NOT CIRCLED,YES,637,Georgia,YES,20,INAPPLICABLE,NO,40,52,INAPPLICABLE,INAPPLICABLE,INAPPLICABLE,INAPPLICABLE,YES,NO ANSWER,98000,MARRIED/LIVE W/SP,849,0,1,1,40,40,1,0,Georgia,1973,1984,1953,31,20
2811,11,47,5,2002,26789,R,3,3,0,mar,wid,did not cohab,779,Mo and yr given,810,Mth alloc midyr,779,Mo and yr given,0,Mo and yr given,,,810,Mth alloc midyr,,,mar,div,No,846,Mth alloc midyr,899,Mo and yr given,846,Mth alloc midyr,893,Mo and yr given,899,Mo and yr given,,,,,mar,wid,No,900,Mo and yr given,990,Mo and yr given,900,Mo and yr given,0,Mo and yr given,,,990,Mth and yr given,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,no dup,WIDOWED,FEMALE,COHAB NOT CIRCLED,INAPPLICABLE,575,Arkansas,NO,INAPPLICABLE,INAPPLICABLE,INAPPLICABLE,INAPPLICABLE,INAPPLICABLE,0,52,NO,INAPPLICABLE,NO,NO,24500,NOT COHAB-WIDOWED,INAPPLICABLE,0,1,0,0,0,0,0,Arkansas,0,1977,1948,29,
2822,1,50,4,2002,26877,R,1,1,0,mar,intact,did not cohab,810,Mo and yr given,0,Mo and yr given,810,Mo and yr given,0,Mo and yr given,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,no dup,MARRIED,MALE,COHAB NOT CIRCLED,YES,601,Utah,YES,55,INAPPLICABLE,YES,INAPPLICABLE,52,INAPPLICABLE,INAPPLICABLE,INAPPLICABLE,INAPPLICABLE,YES,YES,588000,MARRIED/LIVE W/SP,810,0,1,1,55,55,1,0,Utah,1987,1927,1950,-23,37
2826,9,48,7,2002,26902,R,1,1,0,mar,intact,did not cohab,841,Mo and yr given,0,Mo and yr given,841,Mo and yr given,0,Mo and yr given,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,no dup,MARRIED,FEMALE,COHAB NOT CIRCLED,YES,585,Georgia,YES,38,INAPPLICABLE,NO,40,52,INAPPLICABLE,INAPPLICABLE,INAPPLICABLE,INAPPLICABLE,INAPPLICABLE,YES,98000,MARRIED/LIVE W/SP,841,0,1,1,40,40,1,0,Georgia,1973,1984,1949,35,24
2827,9,52,9,2002,26923,R,4,2,0,coh,sep,did not cohab,835,Mo alloc from season,835,Mo alloc from season,0,Mo and yr given,835,Mo alloc from season,,,,,835,Mo alloc from season,mar,div,No,891,Mo and yr given,906,Mo and yr given,891,Mo and yr given,906,Mo and yr given,906,Mo and yr given,,,,,coh,sep,No,908,Mo and yr given,909,Mo and yr given,0,Mo and yr given,909,Mo and yr given,,,,,908,Mo and yr given,mar,intact,No,925,Mo and yr given,0,Mo and yr given,925,Mo and yr given,0,Mo and yr given,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,no dup,MARRIED,MALE,COHAB NOT CIRCLED,YES,633,South Carolina,YES,40,INAPPLICABLE,YES,INAPPLICABLE,52,INAPPLICABLE,INAPPLICABLE,INAPPLICABLE,INAPPLICABLE,NO ANSWER,NO ANSWER,196000,MARRIED/LIVE W/SP,925,1,1,1,40,40,1,0,South Carolina,0,1985,1953,32,
2830,8,53,6,2001,26936,R,1,1,0,mar,intact,did not cohab,968,Mo and yr given,0,Mo and yr given,968,Mo and yr given,0,Mo and yr given,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,no dup,MARRIED,FEMALE,COHAB NOT CIRCLED,YES,644,Vermont,NO,INAPPLICABLE,INAPPLICABLE,INAPPLICABLE,INAPPLICABLE,INAPPLICABLE,0,52,NO,YES,INAPPLICABLE,YES,196000,MARRIED/LIVE W/SP,968,0,1,0,0,0,1,0,Vermont,0,1927,1954,-27,
2833,10,54,8,2001,26960,R,1,1,1,coh,div,cohab,978,Mo and yr given,1216,Mo and yr given,1008,Mo and yr given,1178,Mo and yr given,1216,Mo and yr given,,,978,Mo and yr given,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,no dup,MARRIED,FEMALE,COHAB NOT CIRCLED,YES,658,Michigan,YES,30,INAPPLICABLE,YES,INAPPLICABLE,52,INAPPLICABLE,INAPPLICABLE,INAPPLICABLE,INAPPLICABLE,INAPPLICABLE,YES,98000,MARRIED/LIVE W/SP,1008,1,1,1,30,30,1,0,Michigan,1972,1927,1955,-28,17
2834,11,52,7,2001,26973,R,1,1,0,mar,NA,did not cohab,984,Mo and yr given,9999,No yr,984,Mo and yr given,9999,No yr,9999,No yr,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,no dup,MARRIED,MALE,COHAB NOT CIRCLED,YES,635,Taiwan (Republic of China),YES,44,INAPPLICABLE,YES,INAPPLICABLE,52,INAPPLICABLE,INAPPLICABLE,INAPPLICABLE,INAPPLICABLE,INAPPLICABLE,NO ANSWER,196000,MARRIED/LIVE W/SP,1036,0,1,1,44,44,1,0,Taiwan (Republic of China),0,0,1953,,
2838,4,53,2,2001,26981,R,2,1,1,coh,sep,did not cohab,861,Mo and yr given,870,Mo and yr given,0,Mo and yr given,870,Mo and yr given,,,,,861,Mo and yr given,coh,intact,Yes,1057,Mo and yr given,0,Mo and yr given,1085,Mo and yr given,0,Mo and yr given,,,,,1057,Mo and yr given,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,no dup,NEVER MARRIED,MALE,COHAB NOT CIRCLED,INAPPLICABLE,640,Michigan,INAP-IN ARMED FRCS,55,INAPPLICABLE,YES,INAPPLICABLE,52,INAPPLICABLE,INAPPLICABLE,INAPPLICABLE,INAPPLICABLE,INAPPLICABLE,NO,98000,NOT COHAB-NVR MRRD,INAPPLICABLE,1,0,1,55,55,0,0,Michigan,1972,1927,1953,-26,19
2842,9,54,6,2001,27006,R,1,1,0,mar,intact,did not cohab,931,Mo and yr given,0,Mo and yr given,931,Mo and yr given,0,Mo and yr given,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,no dup,MARRIED,FEMALE,COHAB NOT CIRCLED,YES,657,Virginia,YES,45,INAPPLICABLE,NO,40,44,8,0,INAPPLICABLE,YES,INAPPLICABLE,YES,196000,MARRIED/LIVE W/SP,931,0,1,1,40,40,1,0,Virginia,0,1982,1955,27,
2845,6,52,4,2002,27051,R,2,2,1,mar,div,did not cohab,834,Mo and yr given,869,Mo and yr given,834,Mo and yr given,867,Mo and yr given,869,Mo and yr given,,,,,coh,intact,Yes,893,Mo and yr given,0,Mo and yr given,9999,No yr,0,Mo and yr given,,,,,893,Mo and yr given,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,no dup,MARRIED,FEMALE,COHAB NOT CIRCLED,YES,630,West Virginia,NO,INAPPLICABLE,INAPPLICABLE,INAPPLICABLE,INAPPLICABLE,20,0,32,NO,INAPPLICABLE,INAPPLICABLE,YES,111916,MARRIED/LIVE W/SP,903,1,1,.38461539,0,0,1,0,West Virginia,1984,1985,1953,32,31
2847,10,52,1,2002,27064,R,2,2,0,mar,div,did not cohab,846,Mo and yr given,999,Mo and yr given,846,Mo and yr given,979,Mo and yr given,999,Mo and yr given,,,,,mar,intact,No,1040,Mo and yr given,0,Mo and yr given,1040,Mo and yr given,0,Mo and yr given,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,no dup,MARRIED,FEMALE,COHAB NOT CIRCLED,YES,634,Louisiana,YES,30,INAPPLICABLE,NO,38,52,INAPPLICABLE,INAPPLICABLE,INAPPLICABLE,INAPPLICABLE,INAPPLICABLE,YES,98000,MARRIED/LIVE W/SP,1040,0,1,1,38,38,1,0,Louisiana,0,0,1953,,
2856,11,45,1,2002,27152,R,2,1,1,coh,sep,did not cohab,934,Mo and yr given,944,Mo and yr given,0,Mo and yr given,944,Mo and yr given,,,,,934,Mo and yr given,coh,intact,Yes,990,Mo and yr given,0,Mo and yr given,1005,Mo and yr given,0,Mo and yr given,,,,,990,Mo and yr given,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,no dup,MARRIED,MALE,COHAB NOT CIRCLED,YES,551,Virginia,YES,65,INAPPLICABLE,NO,40,52,INAPPLICABLE,INAPPLICABLE,INAPPLICABLE,INAPPLICABLE,INAPPLICABLE,YES,98000,MARRIED/LIVE W/SP,1005,1,1,1,40,40,1,0,Virginia,0,1982,1946,36,
2861,9,53,7,2001,27194,R,2,1,1,coh,sep,did not cohab,858,Mth alloc midyr,858,Mth alloc midyr,0,Mo and yr given,858,Mth alloc midyr,,,,,858,Mth alloc midyr,coh,intact,Yes,930,Mth alloc midyr,0,Mo and yr given,940,Mo and yr given,0,Mo and yr given,,,,,930,Mth alloc midyr,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,no dup,MARRIED,FEMALE,COHAB NOT CIRCLED,YES,645,California,NO,INAPPLICABLE,INAPPLICABLE,INAPPLICABLE,INAPPLICABLE,INAPPLICABLE,26,26,YES,INAPPLICABLE,YES,YES,196000,MARRIED/LIVE W/SP,940,1,1,.5,0,0,1,0,California,1970,0,1954,,16
2862,10,51,11,2001,27199,R,3,2,0,coh,sep,did not cohab,859,Mo alloc from season,933,Mo and yr given,0,Mo and yr given,933,Mo and yr given,,,,,859,Mo alloc from season,mar,div,No,984,Mo and yr given,1003,Mo alloc from season,984,Mo and yr given,990,Mo and yr given,1003,Mo alloc from season,,,,,mar,div,No,1097,Mo and yr given,1178,Mo and yr given,1097,Mo and yr given,1154,Mo and yr given,1178,Mo and yr given,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,no dup,DIVORCED,MALE,COHAB NOT CIRCLED,INAPPLICABLE,622,Louisiana,NO,INAPPLICABLE,INAPPLICABLE,INAPPLICABLE,INAPPLICABLE,23,0,29,NO,INAPPLICABLE,INAPPLICABLE,NO ANSWER,98000,NOT COHAB-DIVORCED,INAPPLICABLE,1,1,.44230768,0,0,0,0,Louisiana,0,0,1952,,
2864,1,49,3,2002,27253,R,1,1,1,coh,div,cohab,856,Mo alloc from season,1038,Mo and yr given,894,Mo and yr given,966,Mo and yr given,1038,Mo and yr given,,,856,Mo alloc from season,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,no dup,DIVORCED,MALE,COHAB NOT CIRCLED,INAPPLICABLE,589,Pennsylvania,YES,40,INAPPLICABLE,YES,INAPPLICABLE,52,INAPPLICABLE,INAPPLICABLE,INAPPLICABLE,INAPPLICABLE,NO,NO,49000,NOT COHAB-DIVORCED,INAPPLICABLE,1,1,1,40,40,0,0,Pennsylvania,0,1980,1949,31,
2866,6,52,4,2002,27287,R,2,1,0,mar,div,did not cohab,855,Mo and yr given,897,Mo and yr given,855,Mo and yr given,882,Mo and yr given,897,Mo and yr given,,,,,coh,sep,No,941,Mo and yr given,1022,Mo and yr given,0,Mo and yr given,1022,Mo and yr given,,,,,941,Mo and yr given,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,no dup,DIVORCED,FEMALE,COHAB NOT CIRCLED,INAPPLICABLE,630,Louisiana,YES,35,INAPPLICABLE,YES,INAPPLICABLE,52,INAPPLICABLE,INAPPLICABLE,INAPPLICABLE,INAPPLICABLE,NO ANSWER,NO ANSWER,49000,NOT COHAB-DIVORCED,INAPPLICABLE,1,1,1,35,35,0,0,Louisiana,0,0,1953,,
2867,3,48,6,2002,27290,R,3,3,2,mar,div,did not cohab,818,Mo and yr given,865,Mo and yr given,818,Mo and yr given,859,Mo and yr given,865,Mo and yr given,,,,,coh,div,Yes,866,Mo and yr given,919,Mo and yr given,868,Mo and yr given,916,Mo and yr given,919,Mo and yr given,,,866,Mo and yr given,coh,div,Yes,975,Mo and yr given,1027,Mo and yr given,980,Mo and yr given,1015,Mo and yr given,1027,Mo and yr given,,,975,Mo and yr given,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,no dup,DIVORCED,FEMALE,COHAB NOT CIRCLED,INAPPLICABLE,579,Illinois,YES,NONE,YES,INAPPLICABLE,40,52,INAPPLICABLE,INAPPLICABLE,INAPPLICABLE,INAPPLICABLE,NO,NO,147000,NOT COHAB-DIVORCED,INAPPLICABLE,1,1,1,40,40,0,0,Illinois,0,1977,1948,29,
2869,3,54,7,2001,27317,R,1,1,0,mar,intact,did not cohab,994,Mo and yr given,0,Mo and yr given,994,Mo and yr given,0,Mo and yr given,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,no dup,MARRIED,MALE,COHAB NOT CIRCLED,YES,651,Maryland,YES,56,INAPPLICABLE,NO,48,52,INAPPLICABLE,INAPPLICABLE,INAPPLICABLE,YES,INAPPLICABLE,YES,98000,MARRIED/LIVE W/SP,994,0,1,1,48,48,1,0,Maryland,0,1978,1954,24,
2874,3,50,8,2001,27362,R,1,1,0,mar,intact,did not cohab,870,Mo and yr given,0,Mo and yr given,870,Mo and yr given,0,Mo and yr given,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,no dup,MARRIED,MALE,COHAB NOT CIRCLED,YES,603,Utah,YES,57,INAPPLICABLE,YES,INAPPLICABLE,52,INAPPLICABLE,INAPPLICABLE,INAPPLICABLE,INAPPLICABLE,YES,YES,196000,MARRIED/LIVE W/SP,870,0,1,1,57,57,1,0,Utah,1987,1927,1950,-23,37
2878,10,52,9,2002,27396,R,3,2,1,mar,div,did not cohab,863,Mo and yr given,873,Mo and yr given,863,Mo and yr given,866,Mo and yr given,873,Mo and yr given,,,,,coh,sep,No,896,Mo and yr given,902,Mo and yr given,0,Mo and yr given,902,Mo and yr given,,,,,896,Mo and yr given,coh,intact,Yes,965,Mo and yr given,0,Mo and yr given,969,Mo and yr given,0,Mo and yr given,,,,,965,Mo and yr given,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,no dup,MARRIED,FEMALE,COHAB NOT CIRCLED,YES,634,New York,YES,40,INAPPLICABLE,YES,INAPPLICABLE,52,INAPPLICABLE,INAPPLICABLE,INAPPLICABLE,INAPPLICABLE,YES,YES,98000,MARRIED/LIVE W/SP,969,1,1,1,40,40,1,0,New York,0,1980,1953,27,
